"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","A02","A02[other]","A022","A022[other]","A01","A03","A04","A08","A08[other]","A05","A05[other]","A06","A06[other]","A07","A07[other]","A09","A09[other]","B01","B02","B03","B04","B05","B06","B07","B08","C01","D01[SQ001]","D01[SQ002]","D01[SQ003]","D01[SQ004]","D01[SQ005]","D01[SQ006]","D01[SQ007]","D01[SQ008]","D01[SQ009]","D01[SQ010]","D01[SQ011]","D01[SQ012]","D01[SQ013]","D01[SQ014]","D01[SQ015]","D01[SQ016]","D01[SQ017]","D01[SQ018]","D01[SQ019]","D01[SQ020]","D01[SQ021]","D01[SQ022]","D01[SQ023]","E01[SQ001]","E01[SQ002]","E01[SQ003]","E01[SQ004]","E01[SQ005]","E01[SQ006]","E01[SQ007]","E01[SQ008]","E01[SQ009]","E01[SQ010]","E01[SQ011]","E01[SQ012]","E01[SQ013]","E01[SQ014]","F01","F02","F03","F04[SQ001]","F04[SQ002]","F04[SQ003]","F04[SQ004]","F04[SQ005]","F04[SQ006]","F04[SQ007]","F04[SQ008]","F04[SQ009]","F04[SQ011]","F04[other]","G01[SQ001]","G01[SQ002]","G01[SQ003]","G01[SQ004]","G01[SQ005]","G01[SQ006]","G01[SQ007]","G01[SQ008]","G01[SQ009]","G01[SQ010]","G01[SQ011]","H01[SQ001]","H01[SQ002]","H01[SQ003]","H01[SQ004]","H01[SQ005]","H01[SQ006]","H01[SQ007]","H01[SQ008]","H01[SQ009]","H01[SQ010]","H01[SQ011]","H01[SQ012]","H01[SQ013]","H01[SQ014]","H01[SQ015]","H01[SQ016]","H01[SQ017]","H01[SQ018]","H01[SQ019]","H01[SQ020]","H01[SQ021]","H01[SQ022]","H01[SQ023]","I01[SQ001]","I01[SQ002]","I01[SQ003]","I01[SQ004]","I01[SQ005]","I01[SQ006]","I01[SQ007]","I01[SQ008]","II01[SQ001]","II01[SQ002]","II01[SQ003]","II01[SQ004]","II01[SQ005]","II01[SQ006]","II01[SQ007]","II01[SQ008]","II01[SQ009]","II01[SQ010]","II01[SQ011]","II01[SQ012]","J01[SQ001]","J01[SQ002]","J01[SQ003]","J01[SQ004]","J01[SQ005]","J01[SQ006]","J01[SQ007]","K01[SQ001]","K01[SQ002]","K01[SQ003]","K01[SQ004]","K01[SQ005]","K01[SQ006]","K01[SQ007]","K01[SQ008]","K01[SQ009]","K01[SQ010]","K01[SQ011]","K01[SQ012]","K01[SQ013]","K01[SQ014]","K01[SQ015]","K01[SQ016]","K01[SQ017]","K01[SQ018]","K01[SQ019]","K01[SQ020]","K01[SQ021]","L01[SQ001]","L01[SQ002]","L01[SQ003]","L01[SQ004]","L01[SQ005]","L01[SQ006]","L01[SQ007]","L02[SQ001]","L02[SQ002]","L02[SQ003]","L02[SQ004]","L02[SQ005]","L02[SQ006]","L02[SQ007]","L02[SQ008]","L03[SQ001]","L03[SQ002]","L03[SQ003]","L03[SQ004]","L03[SQ005]","L03[SQ006]","L03[SQ007]","L03[SQ008]","L04[SQ001]","L04[SQ002]","L04[SQ003]","L04[SQ004]","L04[SQ005]","L04[SQ006]","L04[SQ007]","L04[SQ008]","L04[SQ009]","L04[SQ010]","M01","M02","M03","M03[other]","M04","M05","M05[other]","M06","M07","M07[other]","M08","LL01[SQ001]","LL01[SQ002]","LL02[SQ001]","LL02[SQ002]","LL03[SQ001]","LL03[SQ002]","LL04[SQ001]","LL04[SQ002]","LL05[SQ001]","LL05[SQ002]","LL06[SQ001]","LL06[SQ002]","LL07[SQ001]","LL07[SQ002]","LL08[SQ001]","LL08[SQ002]","LL09[SQ001]","LL09[SQ002]","LL10[SQ001]","LL10[SQ002]","N01","N01[other]","N02","N02[other]","N03","N032","N033","N034","N034[other]","N04","N08","N05","N06","N07","interviewtime","groupTime5405","A02Time","A022Time","A01Time","A03Time","A04Time","A08Time","A05Time","A06Time","A07Time","A09Time","groupTime5406","B01Time","B02Time","B03Time","B04Time","B05Time","B06Time","B07Time","B08Time","groupTime5407","C01Time","groupTime5408","D01Time","groupTime5409","E01Time","groupTime5418","F01Time","F02Time","F03Time","F04Time","G01Time","groupTime5411","H01Time","groupTime5412","I01Time","groupTime5419","II01Time","groupTime5413","J01Time","groupTime5414","K01Time","groupTime5415","L01Time","L02Time","L03Time","L04Time","groupTime5416","M01Time","M02Time","M03Time","M04Time","M05Time","M06Time","M07Time","M08Time","groupTime5649","LL01Time","LL02Time","LL03Time","LL04Time","LL05Time","LL06Time","LL07Time","LL08Time","LL09Time","LL10Time","groupTime5417","N01Time","N02Time","N03Time","N032Time","N033Time","N034Time","N04Time","N08Time","N05Time","N06Time","N07Time"
"565","2021-05-27 16:52:12","15","fr","1734891999","2021-05-27 16:26:08","2021-05-27 16:52:12","A3","","A2","","2005-06-17 00:00:00","170","55","A1","","A1","","A6","","","","","","A10","A11","A3","A11","A2","","","","A4","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A10","A3","A11","A11","A3","A2","A11","A1","A1","A11","A4","A11","A3","A1","A11","A1","A4","A3","","Y","","","","","","","","","","A5","A5","A2","A4","A1","A1","A1","A1","A1","A2","A11","A3","A10","A5","A2","A1","A2","A3","A10","A1","A10","A1","A10","A1","A10","A10","A4","A1","A1","A1","A1","A1","A4","A10","A4","A4","A3","A1","A1","A11","A11","","A4","A10","A1","A1","A4","A2","A2","A1","A1","A1","A1","A1","A1","A1","A1","A1","A1","A1","A1","A2","A2","A2","A2","A2","A1","A1","A1","A1","A1","A1","A1","A1","A1","A1","A1","A1","A1","A4","A4","A2","A3","A1","A3","A2","A1","A5","A5","A3","A4","A2","A1","A2","A4","A3","A2","A1","A3","A1","A2","A1","A4","A2","A2","A2","A2","A3","A2","A1","A1","A1","A1","A2","A2","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A5","","A4","","A2","Y","","","","A2","92270","","A2","TROP COOL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"566","2021-05-27 17:02:36","15","fr","1729642891","2021-05-27 16:26:10","2021-05-27 17:02:36","A2","","A2","","2006-07-31 00:00:00","178","80","A1","","A1","","A6","","","","","","A2","A2","A2","","","","","","A1","A3","A1","A1","A1","A3","A1","A4","A1","A3","A1","A1","A5","A4","A1","A1","A1","A4","A5","A1","A4","A1","A1","A1","A4","A1","A5","A4","A5","A5","A4","A1","A2","A1","A3","A3","A1","A1","A1","A1","A2","","","","","Y","","Y","","Y","","","A2","A1","A1","A4","A1","A1","A1","A1","A1","A1","A1","A10","A3","A4","A1","A3","A10","A1","A4","A1","A4","A1","A10","A1","A10","A5","A4","A1","A1","A1","A2","A1","A4","A10","A4","A5","A4","A5","A1","A3","A5","","A10","A1","A1","A5","A1","A1","A5","A5","A1","A5","A5","A1","A4","A2","A10","A4","A4","A2","A3","A4","A2","A3","A4","A5","A4","A5","A1","A3","A4","A5","A1","A4","A4","A3","A4","A1","A1","A4","A4","A3","A3","A3","A10","A1","A1","A1","A2","A4","A2","A1","A3","A1","A4","A3","A1","A4","A3","A1","A2","A1","A3","A1","A1","A4","A2","A5","A5","A1","A1","A1","A1","A1","A4","A2","","","","","","","","","","","","","","","A2","","","","","A1","","","","A1","","A1","","","A1","","A8","","A2","","A2","Y","","","","A2","92270","merci mais non merci","A2","c'était hyper funny","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"567","2021-05-27 17:07:29","15","fr","1087209196","2021-05-27 16:26:13","2021-05-27 17:07:29","A1","","A1","","2006-02-27 00:00:00","172","55","A1","","A1","","A6","","","","","","A3","A10","A3","A3","A1","A6","","","A3","A4","A3","A3","A3","A3","A4","A5","A4","A2","A2","A5","A2","A4","A4","A2","A2","A3","A4","A3","A4","A2","A4","A2","A3","A2","A3","A4","A4","A5","A3","A3","A3","A5","A4","A3","A4","A3","A1","A5","A3","","Y","","","Y","","","","Y","","","A5","A5","A4","A5","A3","A3","A4","A3","A4","A2","A3","A3","A3","A3","A5","A3","A3","A5","A2","A5","A2","A3","A4","A2","A4","A4","A3","A2","A5","A4","A5","A5","A4","A3","A1","A2","A2","A2","A5","A4","A4","","A4","A4","A3","A1","A2","A1","A2","A2","A3","A4","A1","A2","A4","A5","A4","A5","A4","A4","A4","A3","A5","A4","A4","A3","A4","A4","A2","A3","A4","A4","A4","A4","A4","A3","A3","A3","A3","A3","A3","A4","A3","A3","A3","A2","A2","A2","A4","A3","A1","A2","A3","A1","A3","A4","A2","A1","A4","A2","A4","A4","A4","A2","A3","A3","A3","A4","A4","A2","A2","A2","A2","A2","A1","A10","","","","","","","","","","","A2","","","","","","","","","","","","","","","","","","","","A1","","A1","","A2","Y","","","","A2","","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"568","2021-05-27 17:01:50","15","fr","1855213637","2021-05-27 16:26:14","2021-05-27 17:01:50","A1","","A1","","2006-05-18 00:00:00","168","46","A1","","A1","","A6","","","","","","A2","A11","A3","A4","A1","A5","","","A3","A4","A5","A3","A4","A3","A5","A5","A5","A2","A3","A1","A2","A4","A5","A5","A4","A5","A5","A5","A5","A5","A4","A1","A5","A4","A1","A4","A5","A5","A1","A2","A1","A5","A3","A5","A3","A4","A1","A4","A4","","Y","","Y","Y","","","Y","","","","A5","A5","A5","A5","A4","A4","A5","A5","A4","A1","A2","A4","A4","A3","A1","A4","A4","A3","A5","A2","A5","A2","A5","A1","A5","A5","A4","A1","A1","A1","A4","A1","A5","A5","A2","A3","A2","A5","A1","A5","A4","","A1","A1","A1","A3","A1","A1","A4","A5","A1","A5","A5","A4","A3","A3","A2","A5","A5","A3","A2","A3","A4","A4","A5","A5","A4","A2","A2","A4","A4","A5","A5","A11","A5","A4","A4","A3","A3","A4","A3","A3","A5","A2","A1","A1","A1","A1","A5","A3","A1","A1","A3","A2","A3","A5","A3","A1","A5","A1","A3","A1","A5","A2","A4","A4","A5","A5","A3","A1","A1","A1","A1","A2","A2","A1","A2","A5","","A4","A2","","A9","","","","A1","","A1","","A1","","","A1","A2","","","A1","","A1","A1","","","A1","A1","","A6","","A6","","A2","Y","","","","A1","92","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"569","2021-05-27 17:00:36","15","fr","1206733693","2021-05-27 16:26:19","2021-05-27 17:00:36","A2","","A1","","2006-12-26 00:00:00","170","47","A1","","A1","","A6","","","","","","A10","A4","A3","","","","","","A1","A3","A4","A2","A3","A4","A3","A5","A3","A3","A2","A1","A3","A3","A2","A3","A1","A4","A4","A1","A4","A1","A3","A1","A1","A2","A1","A2","A1","A3","A4","A4","A4","A2","A11","A2","A2","A1","A1","A2","A11","","","","","Y","","","Y","Y","","regerder des poste d'animes","A5","A4","A2","A3","A11","A1","A4","A5","A2","A11","A1","A1","A2","A5","A1","A1","A2","A2","A5","A1","A5","A2","A3","A1","A11","A5","A5","A1","A1","A1","A11","A2","A5","A11","A4","A5","A4","A1","A1","A3","A4","","A1","A1","A1","A5","A1","A1","A3","A5","A1","A3","A1","A2","A4","A5","A1","A5","A2","A3","A5","A3","A4","A5","A5","A4","A3","A3","A1","A4","A3","A3","A1","A4","A4","A4","A2","A10","A1","A5","A5","A5","A5","A4","A3","A2","A4","A1","A2","A3","A5","A5","A2","A3","A4","A1","A4","A2","A4","A1","A2","A3","A4","A5","A3","A3","A1","A3","A3","A2","A2","A3","A4","A3","A2","A10","","","","","","","","","","","","A2","","","","","","","","","","","","","","","","","","","A1","","A1","","A2","Y","","","","A1","92270","NON","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"570","2021-05-27 16:56:14","15","fr","878174406","2021-05-27 16:26:21","2021-05-27 16:56:14","A1","","A1","","2006-06-11 00:00:00","170","59","A1","","A1","","A6","","","","","","A2","A11","A2","A11","A1","A2","","","A2","A3","A4","A3","A4","A5","A5","A5","A4","A3","A5","A5","A4","A3","A3","A4","A3","A4","A4","A5","A5","A5","A4","A4","A5","A4","A2","A5","A4","A5","A3","A2","A1","A5","A5","A4","A3","A1","A1","A5","A4","","Y","","Y","Y","Y","","Y","","","","A5","A5","A5","A5","A1","A4","A5","A5","A3","A1","A1","A4","A4","A3","A4","A3","A5","A5","A3","A5","A3","A2","A4","A3","A3","A3","A4","A2","A2","A2","A3","A4","A3","A3","A1","A3","A2","A5","A5","A5","A1","","A1","A2","A1","A3","A1","A3","A3","A2","A1","A3","A2","A3","A4","A4","A3","A4","A4","A5","A5","A4","A5","A5","A4","A5","A5","A5","A5","A5","A3","A4","A5","A4","A5","A5","A5","A5","A4","A3","A3","A3","A4","A4","A5","A3","A5","A1","A5","A3","A3","A3","A3","A1","A4","A3","A3","A5","A5","A5","A5","A1","A3","A3","A4","A4","A4","A4","A4","A1","A2","A4","A1","A4","A4","A1","A4","A3","","A9","A4","","A10","A5","","A8","A2","","A2","","A2","","","A1","A1","","A2","","","A1","","A2","","A2","A1","","A2","","A1","","A2","Y","","","","A2","92","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"571","2021-05-27 16:51:04","15","fr","286721790","2021-05-27 16:26:25","2021-05-27 16:51:04","A1","","A1","","2006-09-27 00:00:00","162","45","A1","","A1","","A6","","","","","","A4","A3","A1","A4","A1","A5","","","A3","A4","A5","A3","A2","A5","A4","A5","A5","A1","A3","A2","A3","A4","A3","A1","A2","A4","A4","A2","A5","A3","A1","A3","A5","A2","A1","A4","A5","A5","A1","A2","A2","A5","A4","A3","A1","A3","A1","A4","A3","","Y","","","Y","","","Y","","","","A5","A5","A1","A5","A2","A1","A3","A1","A4","A2","A4","A4","A2","A3","A4","A1","A3","A5","A4","A4","A4","A1","A3","A3","A4","A3","A1","A1","A2","A2","A1","A3","A4","A2","A2","A3","A4","A5","A3","A5","A10","","A3","A4","A3","A2","A5","A2","A5","A2","A4","A5","A2","A1","A2","A1","A5","A5","A4","A5","A5","A3","A4","A10","A3","A5","A3","A2","A5","A4","A2","A5","A5","A4","A2","A4","A5","A1","A1","A3","A2","A4","A1","A2","A1","A10","A5","A1","A2","A2","A3","A3","A2","A5","A5","A5","A1","A1","A5","A1","A4","A1","A4","A2","A5","A10","A1","A4","A5","A2","A1","A4","A3","A4","A1","A2","","","","","","","","","","","A2","A1","A1","A2","A2","A2","A2","A2","A2","A2","A1","A2","A2","A1","A1","A2","A1","A2","A2","A1","A10","","A10","","A2","Y","","","","A1","92270","lardy.ines@gmail.com","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"572","2021-05-27 17:01:25","15","fr","1086605590","2021-05-27 16:26:26","2021-05-27 17:01:25","A2","","A2","","2006-03-27 00:00:00","175","20","A1","","A3","","","","","","A1","","A10","A10","A2","","","","","","A1","A2","A2","A2","A3","A1","A3","A2","A2","A2","A2","A2","A5","A2","A4","A3","A2","A3","A2","A4","A2","A3","A4","A2","A2","A2","A3","A5","A2","A3","A3","A2","A2","A2","A2","A3","A2","A2","A1","A2","A2","","","","","Y","Y","","","Y","","yuummmmiii","A5","A5","A5","A3","A1","A2","A5","A2","A5","A2","A3","A3","A2","A3","A1","A2","A4","A1","A4","A2","A4","A1","A3","A1","A3","A4","A5","A1","A1","A1","A3","A1","A5","A4","A3","A2","A2","A2","A3","A2","A4","","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A1","A1","A1","A3","A1","A1","A1","A10","A10","A10","A5","A4","A4","A3","A2","A2","A4","A2","A1","A2","A3","A2","A2","A11","A11","A11","A11","A11","A1","A1","A5","A2","A2","A1","A4","A2","A2","A2","A3","A1","A1","A4","A2","A1","A4","A1","A2","A1","A2","A1","A2","A2","A2","A4","A1","A1","A1","A4","A2","A3","A1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-oth-","le chocolat au miel","-oth-","brevet de la primaire","A3","Y","","","","A2","yumi island","nn","A2","j'aime bien le chocolat c trop bon et c grv cool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"573","","10","fr","1083286318","2021-05-27 16:26:58","2021-05-27 17:03:33","A2","","A2","","2006-05-24 00:00:00","170","55","A1","","A1","","A6","","","","","","A1","A3","A1","","","","","","A4","","","","","","","","","","","","","","","","","","","","","","","","A5","A2","A2","A4","A5","A3","A1","A2","A1","A5","A5","A5","A5","A4","A1","A4","A11","Y","","","","","","","","","","","","","","","","","","","","","","A3","A4","A5","A3","A3","A5","A5","A5","A5","A5","A1","A5","A1","A5","A5","A2","A1","A1","A1","A3","A2","A5","A1","A2","A2","A1","A5","A1","A2","A1","","A1","A1","A5","A2","A1","A1","A5","A1","A1","A5","A3","A3","A4","A1","A2","A5","A5","A1","A4","A1","A5","A10","A5","A5","A3","A5","A1","A3","A4","A1","A5","A5","A1","A4","A5","A1","A2","A5","A5","A5","A5","A5","A3","A5","A3","A1","A1","A2","A3","A4","A1","A1","A3","A5","A3","A1","A5","A1","A2","A2","A5","A1","A1","A4","A5","A5","A5","A1","A2","A3","A1","A5","A5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"574","2021-05-27 17:07:22","15","fr","1024183816","2021-05-27 16:27:18","2021-05-27 17:07:22","A2","","A2","","2000-01-01 00:00:00","180","60","A1","","A1","","A6","","","","","","A3","A10","A2","","","","","","A1","A5","A5","A3","A3","A5","A3","A4","A5","A1","A4","A3","A4","A1","A3","A1","A2","A1","A5","A1","A5","A11","A5","A1","A1","A1","A5","A5","A11","A4","A5","A4","A4","A1","A10","A1","A3","A5","A1","A5","A2","","","","","Y","Y","","Y","Y","","","A5","A5","A5","A5","A1","A1","A1","A3","A11","A1","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A2","A11","A3","A4","A4","A4","A5","","A1","A1","A1","A2","A1","A2","A3","A5","A1","A5","A5","A1","A11","A11","A11","A11","A11","A11","A5","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A11","A10","A10","A10","A10","A10","A10","A10","A3","A5","A4","A1","A5","A5","A4","A4","A1","A1","A1","A1","A2","A2","A1","A5","A5","A5","A1","A5","A3","A3","A4","A4","A5","A5","A11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A8","","","","A3","Y","","","","A1","","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"575","2021-05-27 17:10:42","15","fr","963704920","2021-05-27 16:28:05","2021-05-27 17:10:42","A1","","A3","","2006-01-24 00:00:00","180","60","A1","","A1","","A6","","","","","","A3","A4","A2","A3","A1","A5","","","A1","A4","A4","A1","A4","A4","A1","A4","A1","A4","A2","A4","A1","A4","A4","A4","A2","A4","A4","A1","A4","A2","A4","A1","A5","A1","A1","A5","A5","A5","A1","A5","A1","A1","A4","A1","A1","A5","A1","A4","A3","Y","Y","Y","Y","Y","","Y","Y","Y","","","A5","A5","A5","A5","A1","A5","A1","A1","A3","A5","A1","A5","A2","A5","A1","A1","A5","A1","A5","A1","A5","A1","A1","A1","A4","A5","A5","A1","A1","A1","A1","A1","A5","A5","A5","A5","A5","A1","A1","A5","A5","","A1","A1","A1","A5","A1","A1","A1","A1","A1","A1","A5","A1","A5","A5","A1","A5","A5","A5","A1","A1","A5","A5","A5","A5","A5","A5","A5","A5","A1","A5","A5","A1","A5","A1","A5","A1","A1","A5","A5","A1","A1","A5","A2","A4","A1","A5","A1","A5","A1","A1","A1","A5","A5","A5","A5","A1","A5","A5","A4","A1","A5","A1","A1","A5","A5","A1","A5","A5","A1","A5","A1","A5","A1","A2","","","","","","","","","","","","A1","A1","","A2","A1","A2","A1","","A1","A2","","","A1","","A1","","A2","A1","","A1","","A10","","A1","Y","","","","A1","92270","giseleyolou61@gmail.com","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"576","","0","fr","1523574413","2021-05-27 19:04:19","2021-05-27 19:04:19","","","","","2000-01-01 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"577","2021-05-28 08:53:26","15","fr","904757077","2021-05-28 08:12:15","2021-05-28 08:53:26","A1","","A1","","2007-08-02 00:00:00","170","59","A1","","A1","","A5","","","","","","A4","A3","A2","A4","A1","A4","","","A1","A5","A4","A10","A5","A5","A3","A4","A5","A1","A5","A3","A2","A4","A4","A5","A5","A4","A3","A4","A4","A2","A3","A3","A4","A2","A1","A4","A5","A4","A1","A2","A1","A4","A3","A3","A4","A3","A1","A3","A1","","","","","Y","","","","","","","A4","A4","A3","A2","A1","A1","A3","A4","A2","A2","A3","A3","A3","A3","A4","A2","A3","A3","A2","A4","A2","A2","A11","A3","A2","A2","A4","A2","A2","A1","A1","A3","A3","A3","A1","A3","A4","A2","A2","A4","A2","","A1","A2","A10","A5","A2","A3","A10","A4","A3","A4","A3","A2","A3","A4","A4","A3","A2","A5","A3","A3","A5","A3","A4","A4","A11","A10","A3","A3","A11","A2","A4","A11","A4","A5","A4","A3","A2","A3","A4","A4","A4","A1","A5","A4","A3","A3","A2","A3","A3","A4","A3","A5","A5","A3","A2","A5","A4","A4","A2","A4","A3","A2","A2","A3","A1","A3","A4","A3","A4","A5","A1","A3","A4","A10","","","","","","","","","","","","A2","A2","","","A2","","A1","A1","","A2","","","A2","A2","","","A2","","A2","A10","","A10","","A2","Y","","","","A1","je ne sais pas","","A2","C'est un  questionnaire très intéressant et détaillé. J'ai beaucoup aimé!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"578","","0","fr","1871319769","2021-05-28 08:29:54","2021-05-28 08:29:54","","","","","2000-01-01 00:00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"579","","4","fr","496687054","2021-05-28 10:00:15","2021-05-28 10:09:32","A2","","A2","","2008-08-28 00:00:00","161","55","A1","","A1","","A4","","","","","","A2","A10","A2","","","","","","A2","","","","","","","","","","","","","","","","","","","","","","","","A2","A4","A1","A5","A5","A4","A1","A2","A1","A3","A4","A4","A3","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"580","2021-05-28 12:46:31","15","fr","2037832078","2021-05-28 12:05:57","2021-05-28 12:46:31","A1","","A1","","2007-03-16 00:00:00","159","54","A1","","A1","","A5","","","","","","A4","A4","A3","A4","A1","A5","","","A3","A4","A3","A1","A5","A5","A4","A5","A4","A1","A3","A4","A2","A5","A5","A4","A3","A4","A2","A5","A5","A3","A4","A4","A5","A3","A1","A3","A5","A2","A1","A2","A1","A5","A4","A5","A1","A2","A1","A1","A1","","Y","","","Y","","","Y","","","","A1","A2","A2","A2","A1","A1","A4","A1","A2","A1","A1","A1","A3","A1","A5","A4","A2","A3","A1","A3","A1","A1","A3","A3","A2","A2","A1","A1","A5","A4","A5","A4","A1","A2","A1","A3","A2","A2","A5","A4","A1","","A2","A3","A3","A2","A2","A4","A3","A2","A5","A5","A2","A4","A4","A4","A5","A4","A4","A4","A4","A4","A5","A3","A4","A3","A4","A3","A5","A4","A2","A4","A5","A5","A4","A5","A2","A3","A2","A1","A1","A2","A3","A3","A5","A3","A4","A2","A4","A3","A2","A3","A3","A2","A2","A5","A1","A3","A5","A1","A3","A1","A2","A2","A4","A4","A1","A3","A4","A4","A2","A3","A2","A5","A4","A1","A4","A2","","A10","A1","","A8","A3","","A8","A2","A1","A1","","","A1","A2","A2","A1","","A1","","A1","","A1","","A2","A2","","","A7","","A10","","A2","Y","","","","A1","","","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"581","","4","fr","1830702308","2021-05-28 12:07:32","2021-05-28 12:11:38","A1","","A1","","2002-12-01 00:00:00","155","48","A5","","A2","","","","A2","","A5","","A4","A3","A3","A5","A1","A6","","","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A1","A4","A3","Y","Y","Y","Y","Y","","Y","Y","Y","","","A5","A5","A5","A5","A1","A1","A5","A2","A1","A1","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
